# source target cpu_ms wall_ms
examples/big/fact-limbs.oro go 15 48
examples/big/fact-limbs.oro js 31 50
examples/big/fact-limbs.oro java 15 37
examples/big/fact-limbs.oro windows 140 186
examples/big/fact.oro go 31 48
examples/big/fact.oro js 31 47
examples/big/fact.oro java 15 33
examples/big/fact.oro windows 15 36
examples/big/fib.oro go 15 42
examples/big/fib.oro js 31 46
examples/big/fib.oro java 31 50
examples/big/fib.oro windows 15 39
examples/big/limbs.oro go 78 108
examples/big/limbs.oro js 46 113
examples/big/limbs.oro java 62 124
examples/big/limbs.oro windows 62 96
examples/big/pair.oro go 31 31
examples/big/pair.oro js 15 33
examples/big/pair.oro java 15 29
examples/big/pair.oro windows 15 31
examples/big/power.oro go 15 41
examples/big/power.oro js 0 40
examples/big/power.oro java 31 37
examples/big/power.oro windows 15 35
examples/big/render.oro go 78 113
examples/big/render.oro js 62 108
examples/big/render.oro java 109 125
examples/big/render.oro windows 359 497
examples/build-vec.oro go 31 56
examples/build-vec.oro js 15 64
examples/build-vec.oro java 31 51
examples/build-vec.oro windows 31 52
examples/centroid.oro go 15 69
examples/centroid.oro js 31 54
examples/centroid.oro java 0 60
examples/centroid.oro windows 46 48
examples/converge.oro go 31 47
examples/converge.oro js 46 51
examples/converge.oro java 31 67
examples/converge.oro windows 31 60
examples/dot.oro go 31 50
examples/dot.oro js 31 50
examples/dot.oro java 15 58
examples/dot.oro windows 15 52
examples/filter.oro go 31 62
examples/filter.oro js 46 63
examples/filter.oro java 31 53
examples/filter.oro windows 15 49
examples/generic.oro go 31 60
examples/generic.oro js 15 50
examples/generic.oro java 15 48
examples/generic.oro windows 31 43
examples/hello.oro go 15 59
examples/hello.oro js 15 45
examples/hello.oro java 46 51
examples/hello.oro windows 46 49
examples/int/collatz.oro go 15 36
examples/int/collatz.oro js 0 33
examples/int/collatz.oro java 15 31
examples/int/collatz.oro windows 15 35
examples/int/digit-sum.oro go 31 46
examples/int/digit-sum.oro js 15 35
examples/int/digit-sum.oro java 0 34
examples/int/digit-sum.oro windows 15 40
examples/int/fib.oro go 31 39
examples/int/fib.oro js 0 37
examples/int/fib.oro java 31 34
examples/int/fib.oro windows 15 32
examples/int/gcd.oro go 31 38
examples/int/gcd.oro js 15 33
examples/int/gcd.oro java 15 30
examples/int/gcd.oro windows 0 28
examples/int/power.oro go 31 30
examples/int/power.oro js 15 35
examples/int/power.oro java 15 34
examples/int/power.oro windows 0 34
examples/int/sum-range.oro go 15 38
examples/int/sum-range.oro js 15 32
examples/int/sum-range.oro java 15 33
examples/int/sum-range.oro windows 31 45
examples/io/freq.oro go 19328 11512
examples/io/freq.oro js 13593 8660
examples/io/freq.oro java 47953 24648
examples/io/freq.oro windows 31 43
examples/io/jsonfmt.oro go 296 529
examples/io/jsonfmt.oro js 546 619
examples/io/jsonfmt.oro java 531 707
examples/io/jsonfmt.oro windows 15 36
examples/io/wc.oro go 15 44
examples/io/wc.oro js 31 41
examples/io/wc.oro java 31 36
examples/io/wc.oro windows 15 31
