# source target cpu_ms wall_ms
examples/big/fact-limbs.oro go 15 525
examples/big/fact-limbs.oro js 15 516
examples/big/fact-limbs.oro java 31 512
examples/big/fact-limbs.oro windows 156 663
examples/big/fact.oro go 15 514
examples/big/fact.oro js 15 532
examples/big/fact.oro java 15 485
examples/big/fact.oro windows 0 523
examples/big/fib.oro go 15 54
examples/big/fib.oro js 31 53
examples/big/fib.oro java 15 482
examples/big/fib.oro windows 0 41
examples/big/limbs.oro go 93 590
examples/big/limbs.oro js 62 96
examples/big/limbs.oro java 62 487
examples/big/limbs.oro windows 31 487
examples/big/pair.oro go 15 41
examples/big/pair.oro js 15 49
examples/big/pair.oro java 15 41
examples/big/pair.oro windows 15 45
examples/big/power.oro go 15 40
examples/big/power.oro js 31 37
examples/big/power.oro java 0 49
examples/big/power.oro windows 15 25
examples/big/render.oro go 93 130
examples/big/render.oro js 109 128
examples/big/render.oro java 109 145
examples/big/render.oro windows 390 485
examples/build-vec.oro go 15 57
examples/build-vec.oro js 31 53
examples/build-vec.oro java 46 53
examples/build-vec.oro windows 46 62
examples/centroid.oro go 46 69
examples/centroid.oro js 31 61
examples/centroid.oro java 15 81
examples/centroid.oro windows 0 68
examples/converge.oro go 31 51
examples/converge.oro js 31 52
examples/converge.oro java 15 46
examples/converge.oro windows 15 64
examples/dot.oro go 31 61
examples/dot.oro js 46 52
examples/dot.oro java 31 43
examples/dot.oro windows 31 50
examples/filter.oro go 31 50
examples/filter.oro js 31 51
examples/filter.oro java 15 54
examples/filter.oro windows 0 49
examples/generic.oro go 46 55
examples/generic.oro js 46 65
examples/generic.oro java 31 54
examples/generic.oro windows 15 59
examples/hello.oro go 31 57
examples/hello.oro js 31 60
examples/hello.oro java 31 48
examples/hello.oro windows 15 58
examples/int/collatz.oro go 15 38
examples/int/collatz.oro js 15 32
examples/int/collatz.oro java 15 35
examples/int/collatz.oro windows 15 29
examples/int/digit-sum.oro go 31 38
examples/int/digit-sum.oro js 15 32
examples/int/digit-sum.oro java 0 30
examples/int/digit-sum.oro windows 15 31
examples/int/fib.oro go 31 38
examples/int/fib.oro js 15 40
examples/int/fib.oro java 0 36
examples/int/fib.oro windows 15 33
examples/int/gcd.oro go 15 44
examples/int/gcd.oro js 15 41
examples/int/gcd.oro java 31 46
examples/int/gcd.oro windows 0 39
examples/int/power.oro go 15 45
examples/int/power.oro js 15 43
examples/int/power.oro java 31 34
examples/int/power.oro windows 0 41
examples/int/sum-range.oro go 0 44
examples/int/sum-range.oro js 0 41
examples/int/sum-range.oro java 0 36
examples/int/sum-range.oro windows 0 33
examples/io/freq.oro go 19687 11675
examples/io/freq.oro js 14671 8754
examples/io/freq.oro java 46671 24391
examples/io/freq.oro windows 15 39
examples/io/jsonfmt.oro go 515 526
examples/io/jsonfmt.oro js 453 632
examples/io/jsonfmt.oro java 625 694
examples/io/jsonfmt.oro windows 31 29
examples/io/wc.oro go 15 35
examples/io/wc.oro js 15 41
examples/io/wc.oro java 0 35
examples/io/wc.oro windows 0 36
examples/json/tokenize.oro go 1703 2012
examples/json/tokenize.oro js 15 32
examples/json/tokenize.oro java 31 29
examples/json/tokenize.oro windows 0 29
examples/json/tree.oro go 2281 2204
examples/json/tree.oro js 31 35
examples/json/tree.oro java 31 34
examples/json/tree.oro windows 15 38
examples/kara/core.oro go 140 195
examples/kara/core.oro js 15 37
examples/kara/core.oro java 15 34
examples/kara/core.oro windows 31 33
examples/kara/workspace.oro go 15 44
examples/kara/workspace.oro js 15 37
examples/kara/workspace.oro java 0 36
examples/kara/workspace.oro windows 15 35
examples/map/dynamic.oro go 15 37
examples/map/dynamic.oro js 15 36
examples/map/dynamic.oro java 15 30
examples/map/dynamic.oro windows 0 32
examples/match/runs.oro go 0 32
examples/match/runs.oro js 31 31
examples/match/runs.oro java 15 33
examples/match/runs.oro windows 0 31
examples/modules.oro go 15 52
examples/modules.oro js 31 47
examples/modules.oro java 15 49
examples/modules.oro windows 46 48
examples/native/centroid-go.oro go 15 42
examples/native/centroid-go.oro js 31 36
examples/native/centroid-go.oro java 31 48
examples/native/centroid-go.oro windows 0 31
examples/native/centroid-java.oro go 31 46
examples/native/centroid-java.oro js 31 45
examples/native/centroid-java.oro java 31 48
examples/native/centroid-java.oro windows 15 40
examples/native/centroid-js.oro go 31 42
examples/native/centroid-js.oro js 15 40
examples/native/centroid-js.oro java 0 33
examples/native/centroid-js.oro windows 15 44
examples/native/divmod-go.oro go 15 46
examples/native/divmod-go.oro js 15 43
examples/native/divmod-go.oro java 15 37
examples/native/divmod-go.oro windows 0 37
examples/native/divmod-java.oro go 31 43
examples/native/divmod-java.oro js 31 35
examples/native/divmod-java.oro java 31 33
examples/native/divmod-java.oro windows 15 34
examples/native/dot-go.oro go 15 44
examples/native/dot-go.oro js 15 37
examples/native/dot-go.oro java 15 38
examples/native/dot-go.oro windows 31 40
examples/native/dot-java.oro go 31 46
examples/native/dot-java.oro js 15 40
examples/native/dot-java.oro java 31 39
examples/native/dot-java.oro windows 31 35
examples/native/dot-js.oro go 31 45
examples/native/dot-js.oro js 15 39
examples/native/dot-js.oro java 31 36
examples/native/dot-js.oro windows 15 38
examples/native/generic-go.oro go 0 41
examples/native/generic-go.oro js 31 41
examples/native/generic-go.oro java 0 32
examples/native/generic-go.oro windows 15 38
