# source target cpu_ms wall_ms
examples/big/fact-limbs.oro go 46 523
examples/big/fact-limbs.oro js 0 583
examples/big/fact-limbs.oro java 15 503
examples/big/fact-limbs.oro windows 93 644
examples/big/fact.oro go 46 523
examples/big/fact.oro js 15 587
examples/big/fact.oro java 15 502
examples/big/fact.oro windows 0 561
examples/big/fib.oro go 31 523
examples/big/fib.oro js 15 583
examples/big/fib.oro java 15 505
examples/big/fib.oro windows 0 560
examples/big/limbs.oro go 46 544
examples/big/limbs.oro js 46 623
examples/big/limbs.oro java 46 533
examples/big/limbs.oro windows 46 605
examples/big/pair.oro go 15 32
examples/big/pair.oro js 15 73
examples/big/pair.oro java 15 30
examples/big/pair.oro windows 0 26
examples/big/power.oro go 31 29
examples/big/power.oro js 0 39
examples/big/power.oro java 15 29
examples/big/power.oro windows 15 26
examples/big/render.oro go 93 99
examples/big/render.oro js 78 100
examples/big/render.oro java 78 121
examples/big/render.oro windows 250 356
examples/build-vec.oro go 31 44
examples/build-vec.oro js 46 55
examples/build-vec.oro java 15 44
examples/build-vec.oro windows 31 46
examples/centroid.oro go 31 58
examples/centroid.oro js 15 76
examples/centroid.oro java 31 58
examples/centroid.oro windows 31 57
examples/converge.oro go 46 57
examples/converge.oro js 15 56
examples/converge.oro java 31 51
examples/converge.oro windows 15 53
examples/dot.oro go 46 49
examples/dot.oro js 46 48
examples/dot.oro java 31 50
examples/dot.oro windows 46 54
examples/filter.oro go 46 71
examples/filter.oro js 15 53
examples/filter.oro java 15 49
examples/filter.oro windows 46 53
examples/generic.oro go 31 66
examples/generic.oro js 46 68
examples/generic.oro java 15 58
examples/generic.oro windows 15 58
examples/hello.oro go 46 64
examples/hello.oro js 46 59
examples/hello.oro java 46 57
examples/hello.oro windows 15 58
examples/int/collatz.oro go 15 34
examples/int/collatz.oro js 15 41
examples/int/collatz.oro java 31 33
examples/int/collatz.oro windows 15 31
examples/int/digit-sum.oro go 15 38
examples/int/digit-sum.oro js 15 30
examples/int/digit-sum.oro java 0 29
examples/int/digit-sum.oro windows 31 32
examples/int/fib.oro go 31 33
examples/int/fib.oro js 31 31
examples/int/fib.oro java 0 45
examples/int/fib.oro windows 31 35
examples/int/gcd.oro go 15 46
examples/int/gcd.oro js 46 40
examples/int/gcd.oro java 15 29
examples/int/gcd.oro windows 0 38
examples/int/power.oro go 0 40
examples/int/power.oro js 15 42
examples/int/power.oro java 0 37
examples/int/power.oro windows 0 34
examples/int/sum-range.oro go 31 38
examples/int/sum-range.oro js 31 35
examples/int/sum-range.oro java 0 38
examples/int/sum-range.oro windows 31 30
examples/io/freq.oro go 13359 7155
examples/io/freq.oro js 6921 4207
examples/io/freq.oro java 40781 20945
examples/io/freq.oro windows 31 33
examples/io/jsonfmt.oro go 187 224
examples/io/jsonfmt.oro js 265 300
examples/io/jsonfmt.oro java 312 386
examples/io/jsonfmt.oro windows 15 36
examples/io/wc.oro go 15 37
examples/io/wc.oro js 15 38
examples/io/wc.oro java 15 38
examples/io/wc.oro windows 15 37
examples/json/tokenize.oro go 234 292
examples/json/tokenize.oro js 0 34
examples/json/tokenize.oro java 15 32
examples/json/tokenize.oro windows 15 33
examples/json/tree.oro go 1671 1923
examples/json/tree.oro js 31 34
examples/json/tree.oro java 15 32
examples/json/tree.oro windows 15 31
examples/kara/core.oro go 125 134
examples/kara/core.oro js 31 29
examples/kara/core.oro java 31 28
examples/kara/core.oro windows 15 30
examples/kara/workspace.oro go 15 33
examples/kara/workspace.oro js 0 28
examples/kara/workspace.oro java 0 30
examples/kara/workspace.oro windows 31 29
examples/map/dynamic.oro go 15 34
examples/map/dynamic.oro js 15 31
examples/map/dynamic.oro java 15 28
examples/map/dynamic.oro windows 15 34
examples/match/runs.oro go 15 35
examples/match/runs.oro js 15 31
examples/match/runs.oro java 15 32
examples/match/runs.oro windows 15 28
examples/modules.oro go 31 43
examples/modules.oro js 31 50
examples/modules.oro java 31 49
examples/modules.oro windows 31 49
examples/native/centroid-go.oro go 31 39
examples/native/centroid-go.oro js 0 35
examples/native/centroid-go.oro java 15 40
examples/native/centroid-go.oro windows 15 36
examples/native/centroid-java.oro go 15 36
examples/native/centroid-java.oro js 31 34
examples/native/centroid-java.oro java 31 35
examples/native/centroid-java.oro windows 15 35
examples/native/centroid-js.oro go 31 37
examples/native/centroid-js.oro js 15 40
examples/native/centroid-js.oro java 15 37
examples/native/centroid-js.oro windows 15 46
examples/native/divmod-go.oro go 46 43
examples/native/divmod-go.oro js 31 43
examples/native/divmod-go.oro java 0 37
examples/native/divmod-go.oro windows 31 36
examples/native/divmod-java.oro go 15 37
examples/native/divmod-java.oro js 15 36
examples/native/divmod-java.oro java 15 36
examples/native/divmod-java.oro windows 15 33
examples/native/dot-go.oro go 31 41
examples/native/dot-go.oro js 15 34
examples/native/dot-go.oro java 15 35
examples/native/dot-go.oro windows 15 30
examples/native/dot-java.oro go 15 35
examples/native/dot-java.oro js 31 41
examples/native/dot-java.oro java 15 45
examples/native/dot-java.oro windows 31 39
examples/native/dot-js.oro go 15 41
examples/native/dot-js.oro js 31 37
examples/native/dot-js.oro java 15 35
examples/native/dot-js.oro windows 15 31
examples/native/generic-go.oro go 15 39
examples/native/generic-go.oro js 15 34
examples/native/generic-go.oro java 31 36
examples/native/generic-go.oro windows 15 38
examples/native/generic-java.oro go 15 36
examples/native/generic-java.oro js 15 34
examples/native/generic-java.oro java 31 44
examples/native/generic-java.oro windows 31 41
examples/native/generic-js.oro go 15 45
examples/native/generic-js.oro js 15 46
examples/native/generic-js.oro java 15 34
examples/native/generic-js.oro windows 15 41
examples/native/hello-win.oro go 0 39
examples/native/hello-win.oro js 31 35
examples/native/hello-win.oro java 0 39
examples/native/hello-win.oro windows 31 43
examples/native/report-go.oro go 46 49
examples/native/report-go.oro js 31 37
examples/native/report-go.oro java 15 38
examples/native/report-go.oro windows 0 33
examples/native/report-java.oro go 15 35
examples/native/report-java.oro js 15 39
examples/native/report-java.oro java 15 43
examples/native/report-java.oro windows 0 47
examples/native/report-js.oro go 31 47
examples/native/report-js.oro js 15 48
examples/native/report-js.oro java 15 38
examples/native/report-js.oro windows 15 37
examples/native/search-go.oro go 15 41
examples/native/search-go.oro js 15 42
examples/native/search-go.oro java 15 40
examples/native/search-go.oro windows 31 36
examples/native/search-java.oro go 31 42
examples/native/search-java.oro js 31 48
examples/native/search-java.oro java 15 36
examples/native/search-java.oro windows 31 49
examples/native/search-js.oro go 0 41
examples/native/search-js.oro js 15 43
examples/native/search-js.oro java 15 37
examples/native/search-js.oro windows 15 43
examples/native/shortcircuit-go.oro go 15 51
examples/native/shortcircuit-go.oro js 0 48
examples/native/shortcircuit-go.oro java 15 48
examples/native/shortcircuit-go.oro windows 15 42
examples/native/shortcircuit-win.oro go 31 40
examples/native/shortcircuit-win.oro js 0 46
examples/native/shortcircuit-win.oro java 0 54
examples/native/shortcircuit-win.oro windows 78 86
examples/native/sieve-go-threaded.oro go 46 63
